scientific_name,common_name,key_identifiers,view_description,color_palette
Amphiprion ocellaris,Ocellaris Clownfish,small orange clownfish with three white vertical bars edged in black; rounded fins; laterally compressed body,Lateral view,bright orange with white bands and black edging
Rhincodon typus,Whale Shark,enormous filter-feeding shark with dark blue-grey body covered in white spots and pale vertical stripes; wide flat head; huge terminal mouth,Lateral view showing spotted pattern,metallic blue-grey with white spots
Chelonia mydas,Green Sea Turtle,large sea turtle with olive-brown heart-shaped shell; pale plastron; serrated beak; approximately 1m long,Lateral swimming pose,olive-brown shell with pale yellow plastron
Mobula birostris,Giant Manta Ray,massive manta ray with 7m wingspan; black upper surface with white shoulder patches; cephalic fins flanking wide mouth,Dorsal view showing wingspan,black upper surface with white shoulder markings
Hippocampus kuda,Yellow Seahorse,small seahorse with coronet on head; prehensile curved tail; bony armor plating; snout for suction feeding,Profile view showing curved posture,golden yellow with darker mottling
Pterois volitans,Red Lionfish,striking lionfish with bold maroon and white stripes; elaborate fan-like venomous fin spines; feathery pectoral fins,Frontal view with fins spread,maroon and white stripes with translucent fin membranes
Octopus vulgaris,Common Octopus,eight arms with suckers; large intelligent eyes with horizontal pupils; highly textured skin that changes color,Three-quarter view with arms spread,reddish-brown mottled coloring
Tursiops truncatus,Bottlenose Dolphin,sleek grey dolphin with lighter underside; curved dorsal fin; bottle-shaped snout with permanent smile,Lateral swimming pose,grey upper body with pale underside
Carcharodon carcharias,Great White Shark,powerful torpedo-shaped shark with grey upper body; white underside; conical snout; black eyes; serrated teeth,Lateral view showing body profile,grey dorsal surface with white counter-shading
Hapalochlaena lunulata,Blue-Ringed Octopus,small octopus with iridescent blue rings that flash bright when threatened; tan base color; highly venomous,Dorsal view on substrate,tan body with brilliant blue rings
