bucket,scientific_name,common_name,description
Common,Mugil incilis,Parassi mullet,"Parassi mullet, Stripped mullet: marine fish with typical reef fish body shape, scales, and fins"
Common,Carcharhinus melanopterus,Blacktip Reef Shark,"Blacktip Reef Shark, Blacktip Shark: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Common,Penaeus notialis,southern pink shrimp,southern pink shrimp: marine invertebrate found on coral reefs
Common,Callinectes bocourti,Blunttooth swimcrab,"Blunttooth swimcrab: swimming crab with paddle-shaped rear legs, broad carapace"
Common,Thalassoma bifasciatum,Bluehead,"Bluehead: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
Common,Carcharhinus amblyrhynchos,Grey Shark,"Grey Shark, Blacktail reef shark, Grey reef shark: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Common,Callinectes sapidus,American Blue Crab,"American Blue Crab: swimming crab with paddle-shaped rear legs, broad carapace"
Common,Scarus iseri,Striped parrotfish,"Striped parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
Common,Sparisoma aurofrenatum,Redband parrotfish,"Redband parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
Common,Ocyurus chrysurus,yellowtail snapper,"yellowtail snapper: medium-sized fish with sloping head profile, often reddish or yellowish, forked tail"
Common,Stegastes partitus,Bicolor Damselfish,"Bicolor Damselfish: small oval-shaped fish, often brightly colored, territorial behavior near coral"
Common,Oligoplites saurus,Leatherjack,"Leatherjack, Leatherjacket: powerful silvery fish with forked tail, streamlined body, large eyes"
Common,Acanthurus coeruleus,Blue Barber,"Blue Barber: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
Common,Halichoeres bivittatus,Slippery Dick,"Slippery Dick: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
Common,Halichoeres garnoti,Yellowhead Wrasse,"Yellowhead Wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
Common,Acanthurus bahianus,Barber,"Barber: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
Common,Haemulon plumierii,White grunt,"White grunt: oval fish with thick lips, often silvery with stripes, named for grunting sounds"
Common,Sparisoma viride,Stoplight parrotfish,"Stoplight parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
Common,Caretta caretta,loggerhead sea turtle,"loggerhead sea turtle: large sea turtle with heart-shaped shell, non-retractable flippers, rounded head"
Common,Caranx hippos,Black Cavalli,"Black Cavalli: powerful silvery fish with forked tail, streamlined body, large eyes"
Common,Mugil liza,Lebranche mullet,"Lebranche mullet: marine fish with typical reef fish body shape, scales, and fins"
Common,Penaeus schmitti,southern white shrimp,southern white shrimp: marine invertebrate found on coral reefs
Common,Plectropomus leopardus,Leopard coralgrouper,"Leopard coralgrouper: robust stocky fish with large mouth, mottled coloring, heavy body"
Common,Chelonia mydas,green turtle,"large sea turtle with olive-brown heart-shaped shell, pale plastron, serrated beak, approximately 1m long"
Common,Carcharhinus leucas,Bull shark,"Bull shark: sleek grey shark with streamlined body, white underside, prominent dorsal fin, dark eyes"
Common,Galeocerdo cuvier,Tiger shark,"tiger shark with dark vertical stripes on grey body, broad flat head, serrated teeth"
Uncommon,Siganus rivulatus,Marbled spinefoot,"Marbled spinefoot: marine fish with typical reef fish body shape, scales, and fins"
Uncommon,Megaptera novaeangliae,humpback whale,"massive humpback whale with long white flippers, knobby head, pleated throat, barnacles on skin"
Uncommon,Octopus vulgaris,Common Octopus,"large octopus with reddish-brown mottled skin, eight arms with suckers, large intelligent eyes with horizontal pupils"
Uncommon,Panulirus argus,Bermuda lobster,"large spiny lobster with reddish-brown carapace, extremely long antennae, no claws, white spots on segmented tail"
Uncommon,Kyphosus vaigiensis,Lowfin Chub,"Lowfin Chub, Brassy chub: marine fish with typical reef fish body shape, scales, and fins"
Uncommon,Rhinogobius brunneus,Amur goby,"Amur goby: small bottom-dwelling fish with fused pelvic fins forming suction disc, large head"
